"site","thresh","trapAvg","t.thresh","y.thresh","field_domain_id","field_site_name","field_site_type","field_site_subtype","field_colocated_site","field_site_host","field_site_url","field_nonneon_research_allowed","field_latitude","field_longitude","field_geodetic_datum","field_utm_northing","field_utm_easting","field_utm_zone","field_site_county","field_site_state","field_site_country","field_mean_evelation_m","field_minimum_elevation_m","field_maximum_elevation_m","field_mean_annual_temperature_C","field_mean_annual_precipitation_mm","field_dominant_wind_direction","field_mean_canopy_height_m","field_dominant_nlcd_classes","field_dominant_plant_species","field_usgs_huc","field_watership_name","field_watership_size_km2","field_lake_depth_mean_m","field_lake_depth_max_m","field_tower_height_m","field_megapit_soil_family","field_soil_subgroup","field_avg_number_of_green_days","field_avg_green_increase_doy","field_avg_green_max_doy","field_avg_green_decrease_doy","field_avg_green_min_doy","field_phenocams","field_number_tower_levels","domainName","turnover","years"
"SOAP",10.533853672344,275.75,180.029442536986,0.652871958429686,"D17","Soaproot Saddle NEON","Gradient Terrestrial","","BIGC","US Forest Service","https://www.fs.usda.gov/sierra/","Yes",37.03337,-119.26219,"WGS84",4100967.25,298792.741,"11N","Fresno","CA","US",1210,1044,1373,"13.4°C",900,"NW",32,"Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,52,"Fine-loamy - mixed - semiactive - mesic Ultic Haploxeralfs","Ultic Haploxeralfs",200,90,155,185,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.SOAP.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.SOAP.DP1.00042/",6,"California",0.456543456543457,3
"SRER",7.80250433615239,384.2,373.024429754435,0.970912102432159,"D14","Santa Rita Experimental Range NEON","Core Terrestrial","","","University of Arizona","https://taac.arizona.edu/sites/taac.arizona.edu/files/SRER%20Range%20Use%20Agreement%202014%20revised%5B1%5D.pdf","Yes",31.91068,-110.83549,"WGS84",3530547.12,515553.9031,"12N","Pima","AZ","US",997,897,1461,"19.3°C",346,"ESE",2,"Shrub/Scrub",NA,"","",NA,NA,NA,8,"Coarse-loamy - mixed - calcareous - thermic Typic Torrifluvents","Typic Torrifluvents",247,87,139,189,"219|334","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D14.SRER.DP1.00042/",4,"Northern Rockies",0.680142773892774,4
"STEI",10.1587813431967,244.25,148.680784201311,0.608723783833414,"D05","Steigerwaldt-Chequamegon NEON","Gradient Terrestrial","","","Private|Chequamegon Nicolet National Forest|Steigerwaldt Land Services","https://www.fs.usda.gov/cnnf/|https://steigerwaldt.com/","Very Limited|Yes",45.50894,-89.58637,"WGS84",5042743.85,297968.6864,"16N","Lincoln","WI","US",476,466,536,"4.8°C",797,"WSW",20,"Deciduous Forest|Mixed Forest|Woody Wetlands",NA,"","",NA,NA,NA,22,"Coarse-loamy - mixed - superactive - frigid Alfic Epiaquods","Alfic Epiaquods",170,120,165,215,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.STEI.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.STEI.DP1.00042/",6,"Great Lakes",0.385601436909029,7
"STER",23.5113861829999,255.25,152.021972109446,0.595580693866586,"D10","North Sterling NEON","Gradient Terrestrial","","","Private","","Very Limited",40.461894,-103.02929,"WGS84",4480891.1,667084.9559,"13N","Logan","CO","US",1365,1352,1371,"9.7°C",433,"NW",NA,"Cultivated Crops",NA,"","",NA,NA,NA,8,"Fine-silty - mixed - superactive - mesic Pachic Argiustolls","Pachic Argiustolls",180,90,150,190,"270","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D10.STER.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D10.STER.DP1.00042/",4,"Southern Plains",0.395277835001541,7
"TALL",14.538845086608,349.666666666667,881.271828706261,2.5203198151752,"D08","Talladega National Forest NEON","Core Terrestrial","","MAYF","Talladega National Forest","https://www.fs.usda.gov/detail/alabama/about-forest/districts/?cid=fsbdev3_002555","Yes",32.95047,-87.393259,"WGS84",3645863.57,463241.7192,"16N","Bibb","AL","US",166,63,179,"17.2°C",1383,"N",25,"Deciduous Forest|Evergreen Forest|Mixed Forest",NA,"","",NA,NA,NA,35,"Fine-loamy - siliceous - subactive - thermic Typic Hapludults","Typic Hapludults",255,75,135,195,"330","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D08.TALL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D08.TALL.DP1.00042/",5,"Ozarks Complex",0.540913362275479,8
"TEAK",4.65076324650455,179.666666666667,228.371602798496,1.27108498774673,"D17","Lower Teakettle NEON","Gradient Terrestrial","","TECR","US Forest Service","https://www.fs.usda.gov/sierra/","Yes",37.00583,-119.00602,"WGS84",4097400.18,321515.7352,"11N","Fresno","CA","US",2149,2086,2734,"8.0°C",1223,"NW",35,"Evergreen Forest|Shrub/Scrub",NA,"","",NA,NA,NA,59,"Coarse-loamy - mixed - superactive - frigid Pachic Humixerepts","Pachic Humixerepts",180,120,180,205,"300","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D17.TEAK.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D17.TEAK.DP1.00042/",7,"California",0.488888888888889,2
"TOOL",7.37781938829396,119.4,85.768198499397,0.718326620597964,"D18","Toolik Field Station NEON","Core Terrestrial","","TOOK|OKSR","Bureau of Land Management","https://toolik.alaska.edu/user_guide/permits.php","Yes",68.66109,-149.37047,"WGS84",7618427.66,403757.147,"6N","North Slope","AK","US",832,704,980,"-9.0°C",316,"S",0.3,"Dwarf Scrub|Shrub/Scrub",NA,"","",NA,NA,NA,9,"Loamy-skeletal - mixed - superactive - acid - pergelic Typic Histoturbels","Typic Histoturbels",80,160,185,205,"240","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D18.TOOL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D18.TOOL.DP1.00042/",4,"Tundra",0.464052287581699,4
"TREE",15.6471575963233,250.5,317.683247500995,1.26819659681036,"D05","Treehaven NEON","Gradient Terrestrial","","","University of Wisconsin-Stevens Point","https://www.uwsp.edu/cnr-ap/treehaven/Pages/Research-Form.aspx","Yes",45.49369,-89.58571,"WGS84",5041047.89,297965.3164,"16N","Lincoln","WI","US",467,447,482,"4.8°C",797,"WSW",23,"Deciduous Forest|Evergreen Forest|Mixed Forest|Woody Wetlands",NA,"","",NA,NA,NA,36,"Coarse-loamy - mixed - superactive - frigid Alfic Haplorthods","Alfic Haplorthods",170,120,165,215,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.TREE.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.TREE.DP1.00042/",6,"Great Lakes",0.418554296905862,7
"UKFS",24.4288733675437,404.428571428571,863.646563996431,2.13547366583363,"D06","University of Kansas Field Station NEON","Gradient Terrestrial","","","University of Kansas","https://biosurvey.ku.edu/research","Yes",39.040431,-95.19215,"WGS84",4323549.85,310276.2976,"15N","Douglas","KS","US",322,272,332,"12.7°C",990,"SE",19,"Deciduous Forest|Pasture/Hay",NA,"","",NA,NA,NA,35,"Fine - smectitic - mesic Pachic Argiudolls","Pachic Argiudolls",255,75,160,210,"330","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D06.UKFS.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D06.UKFS.DP1.00042/",6,"Prairie Peninsula",0.598620397286307,6
"UNDE",11.440003382022,261.75,181.570180200415,0.693677861319637,"D05","University of Notre Dame Environmental Research Center NEON","Core Terrestrial","","","University of Notre Dame","https://underc.nd.edu/underc-west/research-opportunities/","Yes",46.23391,-89.537254,"WGS84",5123162.89,304366.9502,"16N","Gogebic","MI","US",521,501,538,"4.3°C",802,"SSW",24,"Deciduous Forest|Mixed Forest|Woody Wetlands",NA,"","",NA,NA,NA,39,"Coarse-loamy - mixed - superactive - frigid Argic Fragiaquods","Argic Fragiaquods",165,120,170,215,"285","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D05.UNDE.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D05.UNDE.DP1.00042/",6,"Great Lakes",0.303549680741862,7
"WOOD",33.3024680496934,277.5,540.897939783564,1.94918176498582,"D09","Chase Lake National Wildlife Refuge NEON","Core Terrestrial","","PRPO","US Fish and Wildlife Service","https://www.fws.gov/refuge/chase_lake/","Yes",47.1282,-99.241334,"WGS84",5219442.04,481694.7212,"14N","Stutsman","ND","US",591,569,606,"4.9°C",494,"NW",1,"Emergent Herbaceous Wetlands|Grassland/Herbaceous",NA,"","",NA,NA,NA,8,"Coarse-loamy over sandy or sandy-skeletal - mixed - superactive - frigid Typic Haplustolls","Typic Haplustolls",170,120,180,210,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D09.WOOD.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D09.WOOD.DP1.00042/",4,"Northern Plains",0.499160352695744,7
"WREF",5.35472005917089,205,75.5957286676053,0.368759652037099,"D16","Wind River Experimental Forest NEON","Core Terrestrial","","","Pacific Northwest Research Station; US Forest Service","https://www.fs.usda.gov/pnw/","Yes",45.82049,-121.95191,"WGS84",5074636.87,581417.8024,"10N","Skamania","WA","US",351,300,1008,"9.2°C",2225,"NW",50,"Evergreen Forest",NA,"","",NA,NA,NA,74,"Medial - amorphic - mesic Typic Hapludands","Typic Hapludands",175,115,165,210,"290","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D16.WREF.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D16.WREF.DP1.00042/",8,"Pacific Northwest",0.346861471861472,4
"YELL",15.6634406504338,177.666666666667,141.509712425991,0.79648993860783,"D12","Yellowstone National Park NEON","Core Terrestrial","","BLDE","National Park Service","https://irma.nps.gov/rprs/","Limited",44.95348,-110.53914,"WGS84",4977885.94,536352.1992,"12N","Park","WY","US",2133,1847,2244,"3.4°C",493,"SSE",14,"Evergreen Forest|Grassland/Herbaceous|Shrub/Scrub",NA,"","",NA,NA,NA,18,"Fine-loamy - mixed - superactive - frigid Pachic Argiustolls","Pachic Argiustolls",144,125,169,193,"269","One phenocam is attached to the top and the bottom of the tower.
https://phenocam.nau.edu/webcam/sites/NEON.D12.YELL.DP1.00033/
https://phenocam.nau.edu/webcam/sites/NEON.D12.YELL.DP1.00042/",5,"Desert Southwest",0.51219512195122,2
